SDSS_NAME,R.A. [deg],Dec. [deg],redshift,log M_*/M_sun,r [mag],i [mag],r_tidal [mag],i_tidal [mag],log f_tidal
J015620.56+010239.0,29.08569,1.04420,0.083,11.42(0.09),15.405(0.003),15.065(0.003),17.90(0.01),17.79(0.01),-1.08(0.10) 
J015701.10+004848.7,29.25460,0.81354,0.136,11.49(0.11),16.115(0.004),15.763(0.004),22.97(0.13),23.85(0.21),-2.92(0.22) 
J015715.82-003639.1,29.31595,-0.61086,0.119,11.19(0.10),16.976(0.006),16.494(0.005),23.53(0.18),23.25(0.16),-2.66(0.22) 
J015735.63-010016.5,29.39847,-1.00457,0.120,11.04(0.13),17.231(0.007),16.783(0.006),22.77(0.12),21.85(0.08),-2.11(0.21) 
J015757.77-001112.5,29.49074,-0.18679,0.136,11.13(0.10),17.428(0.008),16.948(0.006),23.81(0.21),23.16(0.16),-2.52(0.22) 
J015802.36-001648.1,29.50986,-0.28003,0.135,11.27(0.08),16.854(0.006),16.394(0.005),24.76(0.33),22.73(0.11),-2.74(0.22) 
J015818.85+011421.1,29.57858,1.23923,0.136,11.17(0.12),17.061(0.007),16.694(0.006),23.41(0.15),23.13(0.14),-2.56(0.22) 
J015850.48+005436.9,29.71035,0.91029,0.138,11.05(0.14),17.202(0.007),16.814(0.006),22.87(0.13),22.72(0.13),-2.32(0.21) 
J015901.31+011001.7,29.75545,1.16718,0.137,11.13(0.13),16.973(0.006),16.593(0.005),22.55(0.11),22.01(0.08),-2.20(0.21) 
J015914.09+011319.1,29.80871,1.22203,0.136,11.26(0.10),16.932(0.006),16.537(0.005),22.88(0.12),23.17(0.14),-2.50(0.22) 
J020015.49+002655.1,30.06456,0.44866,0.092,11.08(0.14),16.167(0.004),15.770(0.004),20.76(0.04),20.57(0.04),-1.88(0.20) 
J020100.68-001414.0,30.25287,-0.23722,0.102,11.15(0.12),16.659(0.005),16.218(0.004),22.23(0.09),22.26(0.09),-2.32(0.21) 
J020153.27+011207.3,30.47198,1.20204,0.130,11.68(0.10),15.960(0.004),15.559(0.003),20.37(0.04),20.06(0.03),-1.79(0.20) 
J020205.12+004315.9,30.52132,0.72109,0.136,11.33(0.12),16.774(0.006),16.350(0.005),22.17(0.09),21.65(0.07),-2.14(0.21) 
J020239.98-005917.3,30.66661,-0.98813,0.094,11.03(0.19),16.570(0.005),16.165(0.004),22.88(0.12),21.74(0.07),-2.35(0.21) 
J020353.20+001354.2,30.97168,0.23172,0.137,11.18(0.13),17.122(0.007),16.669(0.005),23.06(0.13),22.55(0.11),-2.37(0.21) 
J020421.90-004959.0,31.09127,-0.83305,0.137,11.41(0.09),16.791(0.006),16.322(0.005),22.32(0.10),22.13(0.08),-2.27(0.21) 
J020424.73+003534.6,31.10306,0.59296,0.114,11.21(0.10),16.671(0.006),16.274(0.005),21.73(0.08),21.89(0.08),-2.12(0.21) 
J020451.52-003720.9,31.21465,-0.62244,0.129,11.53(0.19),16.542(0.005),16.070(0.004),21.66(0.06),21.36(0.06),-2.08(0.21) 
J020659.96+011517.2,31.74983,1.25480,0.137,11.08(0.15),17.296(0.007),16.929(0.006),22.35(0.09),22.14(0.09),-2.06(0.21) 
J020732.16+010931.6,31.88402,1.15882,0.136,11.00(0.13),17.538(0.008),17.149(0.007),99.00(99.00),23.81(0.19),-2.98(0.22) 
J020748.12-004309.5,31.95050,-0.71937,0.083,11.33(0.19),17.291(0.007),16.711(0.006),22.80(0.12),22.82(0.12),-2.31(0.21) 
J020752.00-005720.8,31.96670,-0.95577,0.116,11.29(0.11),16.469(0.005),16.012(0.004),21.13(0.06),20.73(0.04),-1.88(0.20) 
J020813.44+000418.3,32.05603,0.07179,0.147,11.35(0.10),17.037(0.006),16.552(0.005),22.80(0.12),22.54(0.11),-2.35(0.21) 
J020814.77-011046.3,32.06157,-1.17955,0.113,11.36(0.10),16.332(0.005),15.879(0.004),21.44(0.06),21.60(0.07),-2.15(0.21) 
J021019.45-011101.9,32.58106,-1.18389,0.098,11.26(0.11),16.318(0.005),15.900(0.004),21.85(0.08),21.40(0.06),-2.21(0.21) 
J021055.92-005710.7,32.73303,-0.95299,0.100,11.13(0.10),16.659(0.005),16.214(0.004),22.09(0.08),22.04(0.08),-2.25(0.21) 
J021137.26-001846.7,32.90527,-0.31299,0.145,11.12(0.14),17.434(0.008),16.957(0.006),22.88(0.12),22.30(0.09),-2.16(0.21) 
J021142.31+003136.5,32.92629,0.52680,0.142,11.21(0.16),17.331(0.007),16.838(0.006),22.82(0.13),22.76(0.13),-2.28(0.21) 
J021207.70-000028.7,33.03208,-0.00794,0.146,11.04(0.13),17.421(0.008),16.971(0.006),22.36(0.08),21.30(0.05),-1.84(0.20) 
J021223.00-002515.8,33.09585,-0.42106,0.101,11.34(0.11),16.377(0.005),15.908(0.004),22.54(0.11),22.26(0.09),-2.50(0.22) 
J021243.92-005003.8,33.18304,-0.83439,0.100,11.06(0.13),16.735(0.006),16.321(0.005),22.87(0.12),22.34(0.09),-2.43(0.21) 
J021418.31-001834.6,33.57630,-0.30961,0.142,11.06(0.11),17.496(0.008),17.025(0.006),22.85(0.12),22.77(0.12),-2.22(0.21) 
J021437.65+001240.2,33.65692,0.21121,0.101,11.17(0.10),16.406(0.005),15.969(0.004),23.85(0.17),23.05(0.14),-2.90(0.22) 
J021454.80-000741.9,33.72837,-0.12830,0.100,11.16(0.11),16.461(0.005),16.006(0.004),21.32(0.06),21.30(0.06),-2.03(0.21) 
J021511.59+010005.5,33.79834,1.00155,0.122,11.41(0.12),16.344(0.005),15.914(0.004),20.71(0.04),20.42(0.04),-1.78(0.20) 
J021547.47-000637.4,33.94782,-0.11039,0.142,11.17(0.10),17.209(0.007),16.704(0.006),22.17(0.09),22.76(0.12),-2.15(0.21) 
J021558.85-003007.4,33.99524,-0.50205,0.142,11.14(0.11),17.418(0.008),17.012(0.006),23.48(0.16),23.35(0.17),-2.48(0.22) 
J021633.36+003825.3,34.13902,0.64041,0.127,11.00(0.15),17.214(0.007),16.775(0.006),23.56(0.18),23.05(0.13),-2.52(0.22) 
J021700.90+011535.9,34.25379,1.26003,0.123,11.35(0.16),16.607(0.005),16.291(0.005),19.26(0.02),19.07(0.02),-1.12(0.11) 
J021740.35+001859.7,34.41816,0.31662,0.146,11.24(0.15),17.224(0.007),16.795(0.006),23.07(0.13),22.94(0.13),-2.40(0.21) 
J021742.06-011232.7,34.42530,-1.20906,0.095,11.12(0.14),17.021(0.006),16.570(0.005),22.55(0.11),23.05(0.14),-2.36(0.21) 
J021835.57+000524.3,34.64823,0.09011,0.145,11.20(0.13),17.140(0.007),16.661(0.005),22.79(0.12),22.47(0.11),-2.29(0.21) 
J021900.05-000110.3,34.75024,-0.01955,0.147,11.69(0.09),16.102(0.004),15.570(0.003),21.49(0.06),21.44(0.06),-2.24(0.21) 
J021920.83+005027.9,34.83682,0.84111,0.130,11.03(0.19),16.846(0.006),16.463(0.005),22.80(0.11),22.20(0.09),-2.34(0.21) 
J022017.65-000402.7,35.07357,-0.06741,0.140,11.48(0.12),16.604(0.005),16.107(0.004),22.58(0.12),22.69(0.12),-2.50(0.22) 
J022040.65-000651.8,35.16941,-0.11440,0.147,11.38(0.10),17.174(0.007),16.695(0.006),22.34(0.10),23.59(0.16),-2.29(0.21) 
J022105.06+010509.4,35.27113,1.08596,0.135,11.30(0.11),16.878(0.006),16.449(0.005),21.99(0.09),21.85(0.08),-2.10(0.21) 
J022301.24+003126.8,35.75517,0.52415,0.139,11.22(0.12),17.053(0.007),16.611(0.005),22.12(0.08),22.07(0.08),-2.10(0.21) 
J022326.41+005246.8,35.86004,0.87968,0.129,11.06(0.11),17.363(0.008),16.905(0.006),25.14(0.40),24.58(0.31),-3.09(0.22) 
J022328.67+005509.5,35.86950,0.91932,0.130,11.22(0.13),16.829(0.006),16.394(0.005),23.16(0.14),22.99(0.14),-2.58(0.22) 
J022339.58-001149.4,35.91492,-0.19705,0.150,11.16(0.11),17.354(0.008),16.882(0.006),24.52(0.27),24.01(0.24),-2.86(0.22) 
J022503.11+005339.1,36.26300,0.89423,0.129,11.25(0.11),16.833(0.006),16.359(0.005),21.35(0.06),21.53(0.06),-1.93(0.20) 
J022520.20-001144.3,36.33420,-0.19566,0.087,11.09(0.12),16.625(0.005),16.175(0.004),22.91(0.14),22.99(0.13),-2.61(0.22) 
J022608.72+011119.1,36.53639,1.18865,0.139,11.35(0.11),16.734(0.006),16.343(0.005),21.71(0.08),22.71(0.12),-2.19(0.21) 
J022623.73+005302.5,36.59889,0.88403,0.140,11.17(0.11),17.413(0.008),16.981(0.006),99.00(99.00),99.00(99.00),nan(99.00) 
J022700.97+005112.9,36.75405,0.85360,0.131,11.15(0.13),17.545(0.008),17.091(0.007),21.49(0.06),22.01(0.09),-1.74(0.19) 
J022750.06+005430.4,36.95861,0.90844,0.140,11.24(0.11),17.011(0.006),16.571(0.005),21.06(0.05),20.95(0.05),-1.69(0.19) 
J022820.02+005618.5,37.08343,0.93850,0.128,11.13(0.11),17.199(0.007),16.795(0.006),23.50(0.16),22.61(0.11),-2.41(0.21) 
J022920.94+003537.7,37.33729,0.59383,0.132,11.56(0.12),16.027(0.004),15.539(0.003),21.23(0.06),20.86(0.05),-2.11(0.21) 
J023058.87+010646.2,37.74529,1.11284,0.149,11.65(0.11),16.233(0.005),15.819(0.004),20.63(0.04),21.03(0.05),-1.90(0.20) 
J023114.02+010904.9,37.80842,1.15135,0.128,11.33(0.10),16.887(0.006),16.495(0.005),21.71(0.07),21.56(0.07),-1.98(0.21) 
J023254.21+001209.5,38.22588,0.20267,0.111,11.06(0.16),16.680(0.005),16.230(0.004),24.18(0.22),23.06(0.13),-2.85(0.22) 
J023333.07+010959.6,38.38781,1.16656,0.127,11.11(0.12),17.222(0.007),16.829(0.006),22.32(0.09),22.52(0.10),-2.15(0.21) 
J023340.79+002605.0,38.41997,0.43475,0.143,11.53(0.15),16.721(0.006),16.239(0.004),22.05(0.08),21.58(0.07),-2.14(0.21) 
J023400.45-005502.4,38.50191,-0.91735,0.136,11.17(0.12),17.172(0.007),16.714(0.006),23.60(0.18),22.93(0.14),-2.53(0.22) 
J023432.79-001602.2,38.63664,-0.26728,0.083,11.03(0.10),16.303(0.005),15.866(0.004),22.59(0.11),22.99(0.13),-2.65(0.22) 
J023433.53+010535.4,38.63977,1.09319,0.127,11.18(0.15),16.853(0.006),16.446(0.005),22.11(0.09),21.75(0.07),-2.12(0.21) 
J023532.48-001121.8,38.88534,-0.18940,0.071,11.01(0.11),16.354(0.005),15.942(0.004),27.81(0.93),99.00(99.00),-4.88(0.22) 
J023542.89+003406.6,38.92872,0.56850,0.144,11.08(0.14),17.303(0.007),16.878(0.006),21.34(0.06),21.06(0.05),-1.65(0.19) 
J023549.81-001607.8,38.95757,-0.26884,0.124,11.08(0.10),17.458(0.008),16.969(0.006),23.72(0.20),23.97(0.21),-2.63(0.22) 
J023704.11-010009.4,39.26712,-1.00261,0.131,11.04(0.14),17.140(0.007),16.711(0.006),21.33(0.05),21.35(0.06),-1.76(0.20) 
J082938.73+032826.3,127.41138,3.47399,0.106,11.00(0.12),17.218(0.007),16.735(0.006),23.02(0.15),23.50(0.20),-2.47(0.22) 
J083423.18+034536.4,128.59662,3.76011,0.076,11.21(0.12),15.674(0.003),15.258(0.003),22.00(0.08),22.46(0.10),-2.67(0.22) 
J083738.26+040014.6,129.40942,4.00407,0.110,11.27(0.12),16.573(0.005),16.137(0.004),22.40(0.09),22.05(0.08),-2.35(0.21) 
J083939.01+023426.7,129.91255,2.57410,0.113,11.84(0.11),15.217(0.003),14.772(0.002),20.01(0.03),19.62(0.02),-1.93(0.20) 
J084147.63+004909.6,130.44849,0.81935,0.078,11.43(0.09),15.147(0.003),14.759(0.002),19.96(0.03),19.80(0.03),-1.97(0.21) 
J084223.93+045425.1,130.59974,4.90698,0.130,11.16(0.12),17.057(0.007),16.606(0.005),22.82(0.12),24.59(0.33),-2.55(0.22) 
J084303.76+031628.8,130.76570,3.27468,0.148,11.40(0.11),16.966(0.006),16.520(0.005),22.65(0.10),22.30(0.09),-2.29(0.21) 
J084339.26+000314.8,130.91361,0.05414,0.128,11.01(0.12),17.640(0.009),17.258(0.007),23.21(0.14),24.09(0.22),-2.41(0.21) 
J084414.47-002812.7,131.06028,-0.47020,0.106,11.16(0.12),16.729(0.006),16.374(0.005),23.58(0.16),20.50(0.03),-1.93(0.20) 
J084419.57+035226.3,131.08156,3.87396,0.118,11.36(0.13),16.439(0.005),15.989(0.004),21.23(0.05),21.06(0.05),-1.97(0.21) 
J084421.50+043452.1,131.08963,4.58114,0.135,11.22(0.12),17.195(0.007),16.709(0.006),22.85(0.12),22.68(0.12),-2.32(0.21) 
J084424.75+020324.6,131.10314,2.05687,0.078,11.40(0.11),15.634(0.003),15.204(0.003),20.58(0.04),21.25(0.05),-2.15(0.21) 
J084440.49+032629.8,131.16872,3.44162,0.149,11.75(0.11),16.049(0.004),15.596(0.003),19.82(0.03),19.48(0.02),-1.54(0.18) 
J084452.72+022249.2,131.21967,2.38034,0.113,11.06(0.15),16.661(0.005),16.282(0.005),20.82(0.04),20.49(0.04),-1.68(0.19) 
J084501.72+021747.9,131.25720,2.29667,0.078,11.02(0.14),16.358(0.005),15.931(0.004),22.17(0.08),22.01(0.07),-2.38(0.21) 
J084526.14+020901.8,131.35894,2.15053,0.112,11.53(0.12),15.924(0.004),15.512(0.003),20.98(0.04),21.33(0.05),-2.15(0.21) 
J084538.50+032834.7,131.41044,3.47631,0.106,11.24(0.17),16.665(0.005),16.200(0.004),21.88(0.07),21.47(0.06),-2.10(0.21) 
J084542.38+005000.1,131.42659,0.83335,0.133,11.60(0.11),16.349(0.005),15.932(0.004),22.02(0.07),22.02(0.07),-2.35(0.21) 
J084609.49+050444.8,131.53957,5.07914,0.095,11.14(0.11),16.432(0.005),15.963(0.004),22.92(0.13),21.98(0.10),-2.49(0.22) 
J084618.81+012225.1,131.57839,1.37365,0.134,11.21(0.12),16.844(0.006),16.476(0.005),21.08(0.05),20.53(0.04),-1.67(0.19) 
J084706.89+031822.5,131.77872,3.30626,0.119,11.02(0.13),17.142(0.007),16.734(0.006),22.15(0.08),21.91(0.07),-2.04(0.21) 
J084720.70+012644.0,131.83627,1.44558,0.133,11.13(0.11),17.283(0.007),16.916(0.006),21.48(0.06),22.09(0.08),-1.84(0.20) 
J084832.39+015937.2,132.13498,1.99370,0.134,11.32(0.13),16.810(0.006),16.408(0.005),21.70(0.07),21.41(0.06),-1.98(0.21) 
J085028.56+040132.7,132.61904,4.02577,0.117,11.08(0.15),16.813(0.006),16.382(0.005),21.72(0.06),21.81(0.07),-2.06(0.21) 
J085049.56+022555.8,132.70652,2.43220,0.106,11.16(0.14),16.768(0.006),16.337(0.005),23.10(0.12),23.26(0.16),-2.64(0.22) 
J085144.82+040757.5,132.93676,4.13267,0.097,11.08(0.13),16.545(0.005),16.062(0.004),22.24(0.08),22.11(0.09),-2.34(0.21) 
J085200.08+014410.5,133.00033,1.73626,0.125,11.09(0.16),16.977(0.006),16.599(0.005),24.11(0.21),23.69(0.19),-2.84(0.22) 
J085258.14+050523.0,133.24226,5.08974,0.128,11.29(0.11),16.791(0.006),16.325(0.005),22.79(0.13),22.57(0.14),-2.45(0.22) 
J085314.40+002033.8,133.31003,0.34273,0.110,11.42(0.16),17.077(0.007),16.631(0.005),22.06(0.07),21.91(0.07),-2.05(0.21) 
J085316.61+023740.1,133.31923,2.62782,0.107,11.25(0.14),16.073(0.004),15.706(0.003),20.71(0.04),20.47(0.04),-1.89(0.20) 
J085317.92+002033.0,133.32468,0.34249,0.107,11.08(0.12),16.791(0.006),16.361(0.005),22.81(0.11),22.15(0.08),-2.36(0.21) 
J085325.95+013047.9,133.35813,1.51333,0.107,11.12(0.13),16.773(0.006),16.318(0.005),22.53(0.10),22.84(0.12),-2.43(0.21) 
J085412.35+044429.1,133.55147,4.74144,0.128,11.17(0.12),16.862(0.006),16.345(0.005),21.90(0.07),21.07(0.05),-1.95(0.20) 
J085414.32+045454.3,133.55970,4.91508,0.127,11.66(0.12),15.691(0.003),15.228(0.003),20.39(0.04),20.36(0.04),-1.96(0.20) 
J085438.23+003922.8,133.65930,0.65634,0.106,11.13(0.13),16.539(0.005),16.125(0.004),20.20(0.03),19.95(0.03),-1.51(0.18) 
J085456.25+005035.6,133.73438,0.84323,0.109,11.01(0.14),17.007(0.006),16.587(0.005),22.75(0.11),22.56(0.11),-2.34(0.21) 
J085510.20+025216.9,133.79252,2.87137,0.133,11.36(0.10),16.893(0.006),16.527(0.005),22.54(0.09),23.05(0.13),-2.40(0.21) 
J085526.47+000342.0,133.86030,0.06168,0.108,11.04(0.21),16.479(0.005),16.097(0.004),19.61(0.02),19.58(0.02),-1.34(0.16) 
J085545.92+031912.4,133.94133,3.32014,0.122,11.19(0.10),16.841(0.006),16.451(0.005),24.01(0.19),99.00(99.00),-3.18(0.22) 
J085605.90+003622.8,134.02461,0.60634,0.109,11.18(0.17),16.224(0.004),15.824(0.004),19.56(0.02),19.30(0.02),-1.38(0.16) 
J090218.86+035021.7,135.57863,3.83940,0.130,11.19(0.19),17.660(0.009),17.246(0.007),22.09(0.07),21.33(0.05),-1.71(0.19) 
J090222.57+011656.6,135.59405,1.28239,0.131,11.33(0.10),16.879(0.006),16.457(0.005),22.69(0.11),22.61(0.12),-2.39(0.21) 
J090351.05+052813.9,135.96273,5.47055,0.093,11.07(0.10),16.793(0.006),16.384(0.005),99.00(99.00),99.00(99.00),nan(99.00) 
J090406.25+043242.4,136.02607,4.54513,0.149,11.38(0.10),17.061(0.007),16.741(0.006),22.76(0.11),22.07(0.12),-2.20(0.21) 
J090424.98+031802.4,136.10412,3.30069,0.122,11.27(0.11),16.235(0.004),15.937(0.004),20.24(0.03),20.09(0.04),-1.64(0.19) 
J090430.86+031311.2,136.12858,3.21981,0.122,11.41(0.10),16.247(0.004),15.853(0.004),22.15(0.08),22.30(0.10),-2.46(0.22) 
J090533.14+041825.0,136.38810,4.30697,0.124,11.60(0.15),16.560(0.005),16.232(0.005),21.64(0.06),20.82(0.05),-1.93(0.20) 
J090654.95+033231.0,136.72897,3.54195,0.121,11.00(0.12),17.344(0.007),16.974(0.006),99.00(99.00),23.75(0.24),-3.04(0.22) 
J090700.12+041443.0,136.75052,4.24530,0.122,11.39(0.14),16.641(0.005),16.244(0.004),21.26(0.05),20.95(0.05),-1.87(0.20) 
J090724.34+024825.5,136.85145,2.80710,0.135,11.14(0.13),17.062(0.007),16.686(0.006),23.44(0.15),22.54(0.11),-2.44(0.21) 
J090758.84+003501.6,136.99520,0.58380,0.147,11.02(0.12),17.269(0.007),16.878(0.006),21.80(0.07),21.23(0.05),-1.78(0.20) 
J090814.50+033054.1,137.06045,3.51505,0.145,11.57(0.10),16.409(0.005),16.073(0.004),21.82(0.07),21.53(0.07),-2.18(0.21) 
J090859.26+042631.2,137.24692,4.44204,0.139,11.47(0.17),16.976(0.006),16.640(0.005),21.18(0.05),21.20(0.07),-1.75(0.20) 
J091125.98+040208.6,137.85829,4.03575,0.136,11.51(0.12),16.616(0.005),16.214(0.004),20.95(0.04),20.74(0.04),-1.78(0.20) 
J091154.96+030525.6,137.97902,3.09047,0.142,11.43(0.11),16.874(0.006),16.485(0.005),21.84(0.07),23.30(0.17),-2.22(0.21) 
J091242.91+032304.8,138.17881,3.38470,0.148,11.44(0.10),16.793(0.006),16.394(0.005),21.37(0.05),21.28(0.05),-1.89(0.20) 
J091253.79+030113.1,138.22416,3.02032,0.108,11.09(0.15),16.447(0.005),16.160(0.004),20.55(0.04),20.36(0.03),-1.67(0.19) 
J091323.39+040625.7,138.34750,4.10715,0.088,11.34(0.11),16.080(0.004),15.696(0.003),21.31(0.05),21.67(0.07),-2.22(0.21) 
J091328.17+052500.4,138.36739,5.41680,0.145,11.17(0.11),17.388(0.008),16.974(0.006),22.30(0.09),24.59(0.43),-2.24(0.21) 
J091335.29+050738.8,138.39706,5.12746,0.134,11.01(0.12),17.377(0.008),17.016(0.007),21.64(0.07),21.51(0.07),-1.76(0.20) 
J091357.66+030303.5,138.49029,3.05101,0.149,11.43(0.11),17.117(0.007),16.717(0.006),22.62(0.10),22.41(0.10),-2.24(0.21) 
J091359.76+045341.6,138.49904,4.89489,0.145,11.08(0.13),17.014(0.006),16.694(0.006),20.17(0.03),19.91(0.03),-1.30(0.15) 
J091412.23+030240.2,138.55101,3.04452,0.148,11.39(0.10),17.181(0.007),16.809(0.006),21.71(0.07),21.33(0.06),-1.82(0.20) 
J091425.20+045342.9,138.60501,4.89527,0.144,11.44(0.10),16.763(0.006),16.384(0.005),21.70(0.07),21.72(0.08),-2.05(0.21) 
J091434.71+051021.0,138.64464,5.17251,0.135,11.31(0.11),16.806(0.006),16.417(0.005),21.18(0.06),21.66(0.07),-1.89(0.20) 
J091446.14+025023.8,138.69227,2.83995,0.141,11.20(0.14),17.029(0.006),16.670(0.005),24.02(0.19),23.00(0.12),-2.65(0.22) 
J091446.43+032812.6,138.69346,3.47019,0.140,11.51(0.09),16.224(0.004),15.863(0.004),23.40(0.14),22.95(0.12),-2.85(0.22) 
J091452.54+041555.3,138.71896,4.26537,0.142,11.83(0.12),15.693(0.003),15.310(0.003),20.74(0.04),20.44(0.04),-2.04(0.21) 
J091455.99+041658.3,138.73332,4.28288,0.143,11.21(0.12),17.398(0.008),16.997(0.006),99.00(99.00),99.00(99.00),nan(99.00) 
J091513.49+050251.8,138.80622,5.04773,0.144,12.01(0.10),15.454(0.003),14.965(0.002),19.07(0.02),21.20(0.06),-1.72(0.19) 
J091525.68+045942.7,138.85704,4.99520,0.144,11.18(0.14),17.425(0.008),16.984(0.006),22.91(0.14),22.73(0.12),-2.25(0.21) 
J091601.11+031657.1,139.00467,3.28255,0.117,11.23(0.11),16.568(0.005),16.194(0.004),21.80(0.07),21.84(0.07),-2.17(0.21) 
J091641.45+052235.1,139.17276,5.37643,0.141,11.14(0.11),16.873(0.006),16.857(0.006),29.83(3.62),23.43(0.20),-2.93(0.22) 
J091727.13+052339.1,139.36310,5.39419,0.142,11.10(0.13),17.594(0.009),17.135(0.007),21.96(0.09),24.54(0.41),-2.03(0.21) 
J091738.76+051338.6,139.41154,5.22739,0.134,11.04(0.12),17.421(0.008),17.028(0.007),99.00(99.00),23.93(0.25),-3.06(0.22) 
J091813.88+040849.9,139.55788,4.14721,0.146,11.00(0.13),17.555(0.008),17.235(0.007),20.97(0.05),20.97(0.05),-1.44(0.17) 
J091819.66+051321.2,139.58197,5.22255,0.131,11.31(0.10),16.719(0.006),16.304(0.005),21.99(0.09),22.29(0.11),-2.23(0.21) 
J091829.93+044508.3,139.62474,4.75232,0.144,11.32(0.14),16.839(0.006),16.421(0.005),21.53(0.07),21.37(0.06),-1.93(0.20) 
J091852.76+012313.0,139.71984,1.38697,0.141,11.18(0.13),17.056(0.007),16.688(0.006),21.99(0.08),21.91(0.08),-2.03(0.21) 
J091947.98+021439.0,139.94993,2.24420,0.143,11.00(0.13),17.420(0.008),17.082(0.007),25.19(0.36),23.93(0.21),-2.89(0.22) 
J091958.74+020438.4,139.99479,2.07736,0.107,11.09(0.11),16.771(0.006),16.371(0.005),22.87(0.12),23.38(0.16),-2.59(0.22) 
J092009.97+032357.7,140.04155,3.39938,0.126,11.03(0.11),17.191(0.007),16.818(0.006),21.34(0.05),21.15(0.05),-1.70(0.19) 
J092021.72+032859.6,140.09048,3.48323,0.127,11.18(0.14),16.964(0.006),16.577(0.005),22.93(0.12),22.82(0.11),-2.44(0.21) 
J092044.36+004631.6,140.18487,0.77545,0.140,11.25(0.14),17.142(0.007),16.755(0.006),21.58(0.06),21.67(0.06),-1.87(0.20) 
J092049.47+031444.8,140.20615,3.24579,0.146,11.37(0.13),17.043(0.006),16.634(0.005),21.55(0.06),21.49(0.06),-1.87(0.20) 
J092102.69+030640.9,140.26122,3.11140,0.145,11.11(0.19),17.263(0.007),16.850(0.006),21.62(0.06),21.18(0.05),-1.75(0.19) 
J092107.42+024058.8,140.28095,2.68302,0.146,11.12(0.13),17.484(0.008),17.091(0.007),23.12(0.13),23.65(0.18),-2.40(0.21) 
J092109.57+040305.9,140.28992,4.05169,0.116,11.54(0.17),15.909(0.004),15.514(0.003),21.15(0.05),20.96(0.04),-2.14(0.21) 
J092126.56+052203.9,140.36070,5.36776,0.149,11.22(0.14),17.570(0.009),17.139(0.007),22.58(0.13),99.00(99.00),-2.31(0.21) 
J092138.07+014631.1,140.40866,1.77535,0.143,11.09(0.10),17.524(0.008),17.104(0.007),22.39(0.09),22.29(0.09),-2.01(0.21) 
J092145.04+012634.9,140.43770,1.44304,0.139,11.04(0.13),17.532(0.008),17.146(0.007),22.21(0.09),21.90(0.07),-1.89(0.20) 
J092145.83+023308.9,140.44096,2.55250,0.145,11.13(0.12),17.428(0.008),17.047(0.006),23.01(0.13),22.18(0.09),-2.14(0.21) 
J092158.05+023428.3,140.49187,2.57455,0.124,11.76(0.11),15.865(0.004),15.442(0.003),21.73(0.07),21.84(0.07),-2.44(0.21) 
J092200.85+023516.2,140.50354,2.58787,0.086,11.27(0.13),16.123(0.004),15.699(0.003),20.75(0.04),20.65(0.04),-1.92(0.20) 
J092230.87+030423.1,140.62865,3.07312,0.125,11.23(0.12),16.712(0.006),16.319(0.005),21.75(0.06),21.61(0.06),-2.07(0.21) 
J092255.99+030351.8,140.73330,3.06441,0.146,11.15(0.12),17.581(0.008),17.138(0.007),23.77(0.15),24.02(0.20),-2.59(0.22) 
J092311.89+030132.6,140.79956,3.02574,0.119,11.09(0.16),17.083(0.007),16.680(0.005),22.92(0.12),21.92(0.07),-2.20(0.21) 
J092330.95+003120.9,140.87899,0.52251,0.139,11.56(0.11),16.424(0.005),16.028(0.004),22.63(0.11),22.19(0.09),-2.48(0.22) 
J092335.21+002627.8,140.89670,0.44107,0.139,11.11(0.14),17.583(0.008),17.176(0.007),22.63(0.11),22.71(0.12),-2.11(0.21) 
J092341.98+000459.3,140.92493,0.08315,0.138,11.29(0.10),17.003(0.006),16.633(0.005),22.43(0.10),22.29(0.09),-2.22(0.21) 
J092346.16+025836.6,140.94233,2.97684,0.145,11.33(0.11),17.152(0.007),16.688(0.005),22.55(0.10),22.68(0.11),-2.26(0.21) 
J092408.01+022459.0,141.03339,2.41643,0.090,11.75(0.16),15.890(0.004),15.497(0.003),19.73(0.03),20.03(0.03),-1.66(0.19) 
J092442.22+003635.2,141.17592,0.60981,0.115,11.13(0.13),16.531(0.005),16.242(0.004),21.85(0.06),20.95(0.04),-1.99(0.21) 
J092454.18+034227.4,141.22578,3.70763,0.096,11.17(0.12),16.396(0.005),15.979(0.004),21.85(0.07),21.63(0.07),-2.22(0.21) 
J092506.67-004803.6,141.27784,-0.80100,0.139,11.20(0.13),16.998(0.006),16.557(0.005),22.84(0.12),23.48(0.17),-2.50(0.22) 
J092531.06-002734.8,141.37943,-0.45969,0.137,11.38(0.09),16.772(0.006),16.353(0.005),22.21(0.09),22.13(0.09),-2.24(0.21) 
J092550.00-004944.9,141.45835,-0.82918,0.133,11.33(0.10),16.753(0.006),16.340(0.005),22.40(0.10),22.53(0.11),-2.36(0.21) 
J092636.76+032738.0,141.65319,3.46054,0.088,11.51(0.10),15.380(0.003),14.967(0.002),20.00(0.03),19.64(0.02),-1.86(0.20) 
J092647.21+002231.5,141.69670,0.37543,0.103,11.34(0.11),16.115(0.004),15.699(0.003),20.97(0.05),20.64(0.04),-1.96(0.20) 
J092719.42+025155.5,141.83094,2.86541,0.138,11.61(0.12),16.570(0.005),16.092(0.004),22.98(0.12),22.65(0.10),-2.59(0.22) 
