SDSS_NAME,R.A. [deg],Dec. [deg],redshift,log M_*/M_sun,r [mag],i [mag],r_tidal [mag],i_tidal [mag],log f_tidal
J015015.86-000701.2,27.56610,-0.11701,0.089,11.01(0.11),16.766(0.006),16.419(0.005),22.73(0.11),21.70(0.08),-2.23(0.21) 
J015027.09-000839.5,27.61290,-0.14430,0.089,11.45(0.11),15.527(0.003),15.138(0.003),20.23(0.03),19.38(0.03),-1.79(0.20) 
J015045.47+004747.7,27.68944,0.79661,0.141,11.11(0.13),17.220(0.007),16.830(0.006),22.12(0.09),22.35(0.13),-2.07(0.21) 
J015133.26+010601.8,27.88861,1.10053,0.129,11.08(0.11),17.229(0.007),16.822(0.006),22.52(0.10),22.38(0.14),-2.17(0.21) 
J015142.94+010903.5,27.92895,1.15100,0.089,11.00(0.12),16.191(0.004),15.848(0.004),21.34(0.05),20.81(0.05),-2.02(0.21) 
J015144.90+010544.4,27.93711,1.09568,0.059,11.15(0.11),15.272(0.003),14.903(0.002),21.43(0.06),20.70(0.06),-2.39(0.21) 
J015217.30-002150.5,28.07209,-0.36402,0.131,11.26(0.13),16.812(0.006),16.479(0.005),21.73(0.07),22.10(0.09),-2.09(0.21) 
J015236.87-001230.5,28.15367,-0.20845,0.081,11.01(0.11),16.137(0.004),15.814(0.004),22.85(0.11),22.60(0.12),-2.70(0.22) 
J015247.24+010619.9,28.19686,1.10556,0.059,11.32(0.12),15.242(0.003),14.646(0.002),18.99(0.02),20.06(0.04),-1.73(0.19) 
J015253.20-002448.3,28.22169,-0.41342,0.139,11.06(0.17),16.689(0.006),16.316(0.005),20.15(0.03),19.17(0.02),-1.27(0.15) 
J015300.79-003413.8,28.25330,-0.57051,0.133,11.46(0.12),16.315(0.005),16.020(0.004),22.27(0.09),22.68(0.13),-2.50(0.22) 
J015302.23+002726.0,28.25928,0.45723,0.131,11.26(0.12),16.893(0.006),16.474(0.005),22.77(0.12),23.82(0.25),-2.55(0.22) 
J015339.23+001547.4,28.41348,0.26318,0.088,11.27(0.09),15.841(0.004),15.492(0.003),20.77(0.04),20.32(0.04),-1.96(0.20) 
J015339.37+004733.5,28.41402,0.79264,0.120,11.01(0.13),16.934(0.006),16.581(0.006),22.80(0.11),22.63(0.14),-2.38(0.21) 
J015354.83-000041.8,28.47846,-0.01161,0.117,11.05(0.14),16.619(0.005),16.301(0.005),22.33(0.09),21.67(0.07),-2.21(0.21) 
J015422.29-005308.6,28.59287,-0.88573,0.134,11.24(0.12),16.780(0.006),16.451(0.005),22.30(0.11),21.96(0.09),-2.21(0.21) 
J015450.38+000345.1,28.70992,0.06256,0.144,11.12(0.12),17.163(0.007),16.830(0.006),20.45(0.04),20.43(0.04),-1.39(0.16) 
J015457.13-010804.8,28.73806,-1.13466,0.121,11.19(0.19),17.456(0.008),16.973(0.007),22.19(0.11),20.60(0.04),-1.63(0.19) 
J015505.17-004843.4,28.77153,-0.81207,0.127,11.17(0.10),17.212(0.007),16.765(0.006),23.69(0.22),23.41(0.18),-2.62(0.22) 
J015509.56-003937.4,28.78985,-0.66040,0.139,11.23(0.11),17.024(0.006),16.536(0.005),22.36(0.10),21.88(0.09),-2.14(0.21) 
J015531.82-010344.0,28.88263,-1.06223,0.121,11.11(0.10),17.036(0.007),16.639(0.006),22.41(0.11),22.40(0.12),-2.22(0.21) 
J015616.95+010302.9,29.07063,1.05082,0.079,11.98(0.09),13.963(0.002),13.592(0.001),19.81(0.03),19.63(0.03),-2.38(0.21) 
